Title,Year,Cited by,Link,Affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Source
"Utilization Concept for Digital Twins of Production Systems-Integration into the Organization and Production Planning Processes [Nutzungskonzept für Digitale Zwillinge von Produktionssystemen: Integration in die Organisation und Prozesse der Produktionsplanung]",2022,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131563640&doi=10.1515%2fzwf-2022-1035&partnerID=40&md5=cf32c0ba42f839dcb52c64363214bf19","Karlsruher Institut für Technologie (KIT) wbk Institut für Produktionstechnik, Kaiserstraße 12, Karlsruhe, 76131, Germany","Discrete-event simulations have become a common digital planning tool in complex production systems and are increasingly enhanced towards realistic Digital Twins of production systems. The successful long-term use of Digital Twins in production planning requires a systematic integration into the existing organization and planning processes. For this purpose, this article presents and tests a step-by-step procedure that supports the development of User Groups, of a cross-functional interaction cycle, and of user-oriented KPI visualizations. © 2022 Walter de Gruyter GmbH, Berlin/Boston, Germany.","Digital Twin; Procedure; Production Planning; Production System; Simulation; Utilization Concept","Discrete event simulation; Planning; Complex production systems; Discrete-event simulations; Planning process; Procedure; Production Planning; Production system; Simulation; System integration; Systematic integration; Utilization concept; Production control",Article,Scopus
"Analysis of a closed-loop digital twin using discrete event simulation",2022,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138780580&doi=10.1007%2fs00170-022-10176-5&partnerID=40&md5=66728cdb6238e83c0ec6f17f198aa0ff","Brigham Young University, Provo, UT, United States; Northrop Grumman, Promontory, UT, United States; University of California Santa Cruz, Santa Cruz, CA, United States","Given recent advancements in technology and recognizing the evolution of smart manufacturing, the implementation of digital twins for factories and processes is becoming more common and more useful. Additionally, expansion in connectivity, growth in data storage, and the implementation of the industrial internet of things (IIoT) allow for greater opportunities not only with digital twins but with closed loop analytics. Discrete event simulation (DES) has been used to create digital twins and, in some instances, fitted with live connections to closely monitor factory operations. However, the benefits of a connected digital twin are not easily quantified. Therefore, a test bed demonstration factory was used, which implements smart technologies, to evaluate the effectiveness of a closed-loop digital twin in identifying and reacting to trends in production. This involves a digital twin of a factory process using DES. Although traditional DES is typically modeled using historical data, a DES system was developed which made use of live data to improve predictions. This model had live data updated directly to the DES model without user interaction, creating an adaptive and dynamic model. It was found that this DES with live data typically provided more accurate predictions of future performance and unforeseen near future problems when compared to the predictions of a traditional DES using only historic data, resulting in smarter decisions and implementation of more timely solutions. © 2022, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.","Closed-loop processes; Digital twin; Discrete event simulation; Real-time factory analytics; Smart manufacturing","Digital storage; Flow control; Forecasting; Manufacture; Closed-loop; Closed-loop process; Data storage; Discrete-event simulations; Loop process; Real-time factory; Real-time factory analytic; Smart manufacturing; Smart technology; Test bed demonstrations; Discrete event simulation",Article,Scopus
"Development of crop-simulation multiagent system for smart digital twin of plant",2022,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137808354&doi=10.1109%2fITNT55410.2022.9848748&partnerID=40&md5=4963f3ce6055b6ef5d8de22d18ee0de8","Institute of Automation and Information Technologies, Samara State Technical University, Samara, Russian Federation; Institute of Informatics and Cybernetics, Samara National Research University, Samara, Russian Federation; Digital Twin Laboratory, Samara Federal Research Center, Samara, Russian Federation","The paper discusses development of the smart digital twin of plant (SDTP) as an intelligent cyber-physical system that includes an open knowledge base and a multi-Agent subsystem for planning and discrete-event modeling of plant growth and development, as well as forecasting crop parameters based on the knowledge of agronomists, which can be supplemented with sensors and plant growth management mechanisms. SDTP functions should provide continuous adaptive adjustment of the plant development plan for each specific field, depending on the changes in external conditions, so that the discrepancy between each digital crop models and the real crops is minimal. SDTP is designed to systematize and formalize expert empirical data of agronomists on the stages of plant growth and development and yield forecast. Currently, SDTP is implemented as a web service that integrates various data sources from the fields and plants, and provides users with a possibility to track the state of real plants, predict and simulate plant condition. © 2022 IEEE.","digital twin; knowledge base; multi-Agent technology; ontology; plant cultivation; precision farming","Crops; Discrete event simulation; Embedded systems; Forecasting; Knowledge based systems; Web services; Crop simulations; Cyber-physical systems; Growth and development; Knowledge base; Multi-agent technologies; Ontology's; Plant cultivation; Plant development; Plant growth; Precision-farming; Multi agent systems",Conference Paper,Scopus
"Work in Progress: Implementation of a Digital Twin as Technology to support Discrete Event Control Teaching",2022,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132286868&doi=10.1109%2fEDUNINE53672.2022.9782154&partnerID=40&md5=f29f2fa983cf988c48e8a34903fd8ecb","Tecnológico de Monterrey, Escuela de Ingeniería y Ciencias, Monterrey, Mexico","Cyberlearning factories struggle to be implemented for teaching into digital world environments, complex manufacturing systems require multiple systems such as vision cameras, plc programming, or AGV's (Autonomous Intelligent Vehicles). This work depicts the integration of emerging technologies for simulating multiple systems such as industrial cameras, programmable logic controllers, and robots into a simulated world environment. The proposed method shows a solution to test the performance of a factory based on the interaction and data provided by systems such as Datalogic cameras for industrial vision, CODESYS for plc programming, and process simulate to create virtual environments. The result is the development of an efficient industrial simulation environment with robust mathematical modeling for planning the process behavior inside a manufacturing station. This research exemplifies educational innovation by assisting in the creation of a costeffective method for teaching industrial skills. © 2022 IEEE.","Educationalinnovation; Industrial skills; Industry 4.0; OPC; PLC; Process Simulate; Teaching technology; Vision systems","E-learning; Industrial research; Industry 4.0; Programmable logic controllers; Virtual reality; Discrete event control; Educationalinnovation; Industrial skill; Multiple systems; OPC; PLC; PLC programming; Process simulate; Teaching technologies; Vision systems; Cameras",Conference Paper,Scopus
"Managing Input Parameter Uncertainty in Digital Twins",2022,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132143291&doi=10.1016%2fj.ifacol.2022.04.162&partnerID=40&md5=19ec51da4f334e7deb2ac684b52f4eb8","Mechanical Engineering Department, Via La Masa 1, MI, Milano, 20156, Italy","Discrete event simulation models can be used in digital twins to support the design and decision-making process of manufacturing systems. In many industrial contexts, the collection of real-time data from the system is a costly task and the performance predicted by digital twins may be affected by input uncertainty, due to the scarcity of data used to input simulation parameters, thus leading stakeholders to biased decision-making. Literature approaches treat this problem mainly from a theoretical point of view and are applied on very simple systems that do not adequately represent real factories. The aim of this paper is to explore the advantages and drawbacks of an input uncertainty simulation technique, namely the metamodel-assisted bootstrapping procedure. This technique is applied and extended to evaluate the production rate of a lab-scale manufacturing system. We show it is possible, despite the scarcity of data, to build a reliable confidence interval on the production rate and to identify those parameters whose effect on the performance is most relevant. Moreover, the marginal contribution of each input parameter to the performance can be quantitatively assessed, thus enabling stakeholders to identify which parameters to focus on in data collection activity. © 2022 Elsevier B.V.. All rights reserved.","Digital twins; Manufacturing systems' optimization; Metamodel-assisted bootstrapping; Simulation under input uncertainty","Decision making; Discrete event simulation; Input parameter; Input uncertainty; Manufacturing system' optimization; Meta model; Metamodel-assisted bootstrapping; Parameter uncertainty; Performance; Production rates; Simulation under input uncertainty; System optimizations; Manufacture",Conference Paper,Scopus
"ROS-based architecture for fast digital twin development of smart manufacturing robotized systems",2022,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131554020&doi=10.1007%2fs10479-022-04759-4&partnerID=40&md5=a652f4c50df349d6e0ad48cd614cf293","Centro de Investigaciones en Física e Ingeniería del Centro -UNICEN - CICpBA - CONICET, INTELYMEC, Olavarría, B7400JWI, Argentina; Departamento de Ingeniería Industrial, Facultad de Ingeniería, Universidad Nacional del Centro de la Provincia de Buenos Aires, Olavarría, B7400JWI, Argentina","In the current era of Industry 4.0, smart manufacturing systems seek to achieve a high level of flexibility and efficiency. This can be achieved by means of incorporating a high degree of automation and autonomous robotized systems along with efficient decision-making systems capable to reconfigure the system tasks in real-time according to the external demands and perturbations. For the fast development of the digital twins of manufacturing plants that include some robotic devices, it is advantageous to use discrete-event simulators, for production process modeling, and the existing virtual environments of the robots and automatic devices. This work proposes the design and construction of software architecture capable of integrating discrete-event process simulators with the well-known Robot Operating System (ROS) allowing easily interchange information between the factory components for fast digital twin development of robotized manufacturing systems. In addition, our proposal allows for a straightforward integration between the digital twin with an autonomous decision-making system. The proposed ROS-based architecture is tested using different discrete-event simulators and the free distribution ROS Melodic. Finally, we present an instance of software architecture for a typical complex case study of manufacturing plants and demonstrate its easy integration with an autonomous decision-making system. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Autonomous Decision System; Event-driven digital twin; ROS; Smart manufacturing",,Article,Scopus
"A Discrete Process Modelling and Simulation Methodology for Industrial Systems within the Concept of Digital Twins",2022,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122966195&doi=10.3390%2fapp12020870&partnerID=40&md5=0e446d35b4b4a514e8ffe142c6de8c4d","Industrial and Digital Innovations Research Group (INDIGO), School of Production Engineering and Management, Akrotiri Campus, Technical University of Crete, Chania, 73100, Greece","A generic well-defined methodology for the construction and operation of dynamic process models of discrete industrial systems following a number of well-defined steps is introduced. The sequence of steps for the application of the method as well as the necessary inputs, conditions, con-straints and the results obtained are defined. The proposed methodology covers the classical offline modelling and simulation applications as well as their online counterpart, which use the physical system in the context of digital twins, with extensive data exchange and interaction with sensors, actuators and tools from other scientific fields as analytics and optimisation. The implemented process models can be used for what-if analysis, comparative evaluation of alternative scenarios and for the calculation of key performance indicators describing the behaviour of the physical systems under given conditions as well as for online monitoring, management and adjustment of the physical industrial system operations with respect to given rules and targets. An application of the proposed methodology in a discrete industrial system is presented, and interesting conclusions arise and are discussed. Finally, the open issues, limitations and future extensions of the research are considered. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Analytics; Cognitive manufacturing; Digital twins; Discrete event systems; Industrial systems; Industry 4.0; Internet of Things; Optimisation; Petri nets; Process modelling",,Article,Scopus
"Decision support in productive processes through DES and ABS in the Digital Twin era: a systematic literature review",2022,12,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102693068&doi=10.1080%2f00207543.2021.1898691&partnerID=40&md5=17422ed59a5fef57c98112f0f1c2affb","Production Engineering and Management Institute, Federal University of Itajubá (UNIFEI), Itajubá, Brazil","The use of simulation to support decision-making in productive processes (goods and services) is already an established research field. However, with the availability of solutions and technologies, simulation is no longer a tool with limited scope and analysis. In this case, the integration of simulation with physical systems is considered to allow virtual models to be sensitive to physical changes and aligned with the current state of processes, forming the so-called Digital Twin. Therefore, the main purpose of this article is to present a systematic literature review of the use of simulation as Digital Twin to support decision-making. We considered studies published in scientific journals and conference proceedings that include the use of Discrete Event Simulation (DES) and/or Agent-Based Simulation (ABS). Although the Digital Twin concept has appeared in recent years, we noted that its principle has been used for decades when it comes to decision-making through simulation. Moreover, there are still many discussions and uncertainties regarding the simulation model in this research field, such as the degree of autonomy, synchronisation, and connection. These and other key issues are discussed and some research opportunities are highlighted, such as the need for constant model validation and integration between various models. © 2021 Informa UK Limited, trading as Taylor & Francis Group.","agent-based simulation; decision-making; Digital Twin; discrete event simulation; systematic literature review","Decision making; Decision support systems; Discrete event simulation; Agent based simulation; Decision supports; Degree of autonomy; Physical systems; Productive process; Research opportunities; Scientific journals; Systematic literature review; Digital twin",Review,Scopus
"Modelling stochastic behaviour in simulation digital twins through neural nets",2022,2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099812087&doi=10.1080%2f17477778.2021.1874844&partnerID=40&md5=ac17cfba24006c97dad55e77bb0ac30e","School of Science and Technology, Örebro University, Örebro, Sweden; Department of Mechanical, Materials and Manufacturing Engineering, University Park, University of Nottingham, Nottingham, United Kingdom","In discrete event simulation (DES) models, stochastic behaviour is modelled by sampling random variates from probability distributions to determine event outcomes. However, the distribution of outcomes for an event from a real system is often dynamic and dependent on the current system state. This paper proposes the use of artificial neural networks (ANN) in DES models to determine the current distribution of each event outcome, conditional on the current model state or input data, from which random variates can then be sampled. This enables more realistic and accurate modelling of stochastic behaviour. An application is in digital twin models that aim to closely mimic a real system by learning from its past behaviour and utilising current data to predict its future. The benefits of the approach introduced in this paper are demonstrated through a realistic DES model of load-haul-dump vehicle operations in a production area of a sublevel caving mine. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","artificial neural network; digital twin; Discrete event simulation; industry 4.0; mixture density network","Digital twin; Discrete event simulation; Neural networks; Probability distributions; Stochastic systems; Current distribution; Current modeling; Load haul dump vehicle; Production area; Random variates; Real systems; Sub-level caving; System state; Stochastic models",Article,Scopus
"Use of simulation in the industry 4.0 context: Creation of a Digital Twin to optimise decision making on non-automated process",2022,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090304021&doi=10.1080%2f17477778.2020.1811172&partnerID=40&md5=a896d7fd18b89bf943ace32034628cde","Production Engineering and Management Institute, Federal University of Itajubá, Itajubá, Brazil","The advent of new technologies brings a significant impact on systems management. The Industry 4.0 looks for increasingly automated, integrated, and digitised processes. We highlight the use of simulation as a Digital Twin, a virtual and intelligent copy capable of mirroring real processes and optimise decision making. This paper analyses the applicability of the Discrete Event Simulation as a Digital Twin in a non-automated process, a challenging scenario on the implementation of Industry 4.0 solutions. Amethod for conducting simulation projects of this nature was proposed, considering its integration with the process data, as well as its constant updating due to changes in the real environment. To verify its applicability, the method was used in a real study object. The proposed approach proved possible from the present research. We also present some discussions related to the use of simulation as Digital Twins, highlighting the main characteristics of such an application. © Operational Research Society 2020.","Digital Twin; Discrete Event Simulation; Industry 4.0; optimised decision making","Automation; Decision making; Discrete event simulation; Industry 4.0; Automated process; Paper analysis; Process data; Real environments; Simulation projects; Systems management; Digital twin",Article,Scopus
