ts,activity,id,tag
0.346152,1,1,s
0.791373,1,1,f
0.791373,1,2,s
0.791373,2,1,s
0.916266,1,2,f
0.916266,1,3,s
2.835797,1,3,f
2.835797,1,4,s
2.976896,1,4,f
2.976896,1,5,s
3.646715,2,1,f
3.646715,3,1,s
3.646715,2,2,s
3.767804,3,1,f
3.767804,4,1,s
4.277653,2,2,f
4.277653,3,2,s
4.277653,2,3,s
4.486398,2,3,f
4.486398,2,4,s
4.537079,4,1,f
4.537079,5,1,s
4.629862,3,2,f
4.629862,4,2,s
4.629862,3,3,s
4.686028,2,4,f
4.693636,1,5,f
4.693636,1,6,s
4.693636,2,5,s
6.533945,2,5,f
6.68918,4,2,f
6.820849,3,3,f
6.820849,4,3,s
6.820849,3,4,s
7.103014,3,4,f
7.103014,3,5,s
7.720776,3,5,f
8.184626,4,3,f
8.184626,4,4,s
8.189973,5,1,f
8.189973,6,1,s
8.189973,5,2,s
8.721746,6,1,f
9.473944,5,2,f
9.473944,6,2,s
9.473944,5,3,s
9.615279,5,3,f
9.67297,4,4,f
9.67297,5,4,s
9.67297,4,5,s
10.63091,1,6,f
10.63091,1,7,s
10.63091,2,6,s
10.903632,6,2,f
10.903632,6,3,s
11.227608,2,6,f
11.227608,3,6,s
11.262718,4,5,f
11.315933,3,6,f
11.315933,4,6,s
11.320507,6,3,f
11.702122,4,6,f
11.736199,1,7,f
11.736199,1,8,s
11.736199,2,7,s
12.099881,2,7,f
12.099881,3,7,s
12.897187,3,7,f
12.897187,4,7,s
13.357155,5,4,f
13.357155,6,4,s
13.357155,5,5,s
13.686474,5,5,f
13.686474,5,6,s
13.822649,1,8,f
13.822649,1,9,s
13.822649,2,8,s
13.94412,6,4,f
13.94412,6,5,s
14.731598,2,8,f
14.731598,3,8,s
14.749729,6,5,f
14.950987,5,6,f
14.950987,6,6,s
15.119971,3,8,f
15.209888,4,7,f
15.209888,5,7,s
15.209888,4,8,s
15.992931,6,6,f
16.641145,1,9,f
16.641145,1,10,s
16.641145,2,9,s
16.655538,2,9,f
16.655538,3,9,s
17.009764,3,9,f
17.508072,5,7,f
17.508072,6,7,s
17.969208,4,8,f
17.969208,5,8,s
17.969208,4,9,s
18.266145,6,7,f
18.411419,4,9,f
18.880742,5,8,f
18.880742,6,8,s
18.880742,5,9,s
18.884234,6,8,f
19.277886,1,10,f
19.277886,1,11,s
19.277886,2,10,s
19.345891,1,11,f
19.345891,1,12,s
19.426371,5,9,f
19.426371,6,9,s
20.171515,1,12,f
20.171515,1,13,s
20.346535,1,13,f
20.346535,1,14,s
20.611804,1,14,f
20.611804,1,15,s
21.964362,2,10,f
21.964362,3,10,s
21.964362,2,11,s
22.46398,3,10,f
22.46398,4,10,s
22.587153,6,9,f
22.707107,4,10,f
22.707107,5,10,s
23.538649,5,10,f
23.538649,6,10,s
23.72514,1,15,f
23.72514,1,16,s
24.044004,1,16,f
24.044004,1,17,s
24.471044,1,17,f
24.471044,1,18,s
24.534583,2,11,f
24.534583,3,11,s
24.534583,2,12,s
24.869181,3,11,f
24.869181,4,11,s
25.761677,1,18,f
25.761677,1,19,s
25.789851,6,10,f
26.561625,4,11,f
