id,ts,activity
1,17.577952,1
1,28.944959,2
2,33.653143,1
3,39.553143,1
1,40.844959,3
2,50.040444,2
1,52.700131,4
4,57.91419,1
3,59.025862,2
2,61.940444,3
5,63.81419,1
1,64.349573,5
6,69.71419,1
3,70.925862,3
4,74.915183,2
2,75.410218,4
5,83.161319,2
3,84.172353,4
7,86.299733,1
4,86.815183,3
8,92.199733,1
2,92.624788,5
5,95.061319,3
6,97.358435,2
4,99.366598,4
7,106.423034,2
3,107.021715,5
5,107.845968,4
9,109.060808,1
6,109.258435,3
10,114.960808,1
4,116.816501,5
7,118.323034,3
8,119.417223,2
11,120.860808,1
6,122.452907,4
9,124.617077,2
5,127.327399,5
7,131.286917,4
8,131.317223,3
10,131.839092,2
6,133.820373,5
12,137.549169,1
9,138.217223,3
11,139.874419,2
13,143.449169,1
8,144.410633,4
10,145.117223,3
14,149.349169,1
12,149.724381,2
11,152.017223,3
9,152.084302,4
7,152.481983,5
13,157.147785,2
10,160.500802,4
12,161.624381,3
15,166.943037,1
14,166.956668,2
13,169.047785,3
11,170.185174,4
12,177.58252,4
8,178.224463,5
14,178.856668,3
15,179.969564,2
16,183.36375,1
13,183.639904,4
9,186.389525,5
17,189.26375,1
14,191.373843,4
15,191.869564,3
18,195.16375,1
19,201.06375,1
16,203.662163,2
15,205.707795,4
20,206.96375,1
17,211.659979,2
21,212.86375,1
16,215.562163,3
18,218.629711,2
22,218.76375,1
17,223.559979,3
16,227.541224,4
19,229.397252,2
18,230.529711,3
17,234.948773,4
23,236.870968,1
20,237.753555,2
19,241.297252,3
24,242.770968,1
18,243.36209,4
21,244.129071,2
25,248.670968,1
20,249.653555,3
22,251.093071,2
21,256.553555,3
23,263.570622,2
26,265.651543,1
24,271.131646,2
27,284.191167,1
28,302.522425,1
29,319.123328,1
1,319.123328,6
10,319.123328,5
19,319.123328,4
22,319.123328,3
25,319.123328,2
30,325.023328,1
2,325.023328,6
11,330.96766,5
20,330.96766,4
23,330.96766,3
26,330.96766,2
31,330.96766,1
3,340.313855,6
12,342.947477,5
21,342.947477,4
24,342.947477,3
27,342.947477,2
32,342.947477,1
4,355.873919,6
13,355.873919,5
22,355.873919,4
25,355.873919,3
28,355.873919,2
33,361.348767,1
5,372.490293,6
14,372.490293,5
23,372.490293,4
26,372.490293,3
29,372.490293,2
34,380.118239,1
6,380.118239,6
15,380.432351,5
24,380.432351,4
27,380.432351,3
30,381.841775,2
35,396.573326,1
7,396.573326,6
16,396.573326,5
25,396.573326,4
28,396.573326,3
31,396.573326,2
36,402.473326,1
8,402.473326,6
17,410.123559,5
26,410.123559,4
29,410.123559,3
32,410.123559,2
37,410.123559,1
9,417.395835,6
18,419.855501,5
27,419.855501,4
30,419.855501,3
33,425.538944,2
38,425.538944,1
10,425.538944,6
19,425.538944,5
28,426.905113,4
31,426.905113,3
34,436.116472,2
39,444.03144,1
11,444.03144,6
20,444.03144,5
29,444.03144,4
32,444.03144,3
35,444.136673,2
40,449.93144,1
12,449.93144,6
21,450.316724,5
30,450.316724,4
33,450.93144,3
36,453.967331,2
41,455.83144,1
13,455.83144,6
22,460.596748,5
31,460.596748,4
34,460.596748,3
37,463.376037,2
42,463.376037,1
14,463.376037,6
23,466.75162,5
32,467.624886,4
35,467.624886,3
38,473.735864,2
43,473.735864,1
15,473.735864,6
24,475.978086,5
33,476.658404,4
36,476.658404,3
39,480.163078,2
44,491.047815,1
16,491.047815,6
25,491.047815,5
34,491.047815,4
37,491.047815,3
40,491.047815,2
45,496.947815,1
17,496.947815,6
26,505.48417,5
35,505.48417,4
38,505.48417,3
41,505.48417,2
46,505.48417,1
18,505.48417,6
27,514.658484,5
36,514.658484,4
39,514.658484,3
42,514.658484,2
47,514.658484,1
19,514.658484,6
28,527.678262,5
37,527.678262,4
40,527.678262,3
43,527.678262,2
48,530.667848,1
20,530.667848,6
29,539.338179,5
38,539.338179,4
41,539.338179,3
44,539.338179,2
49,539.338179,1
21,546.034017,6
30,547.144218,5
39,547.144218,4
42,547.144218,3
45,547.144218,2
50,547.144218,1
22,551.934017,6
31,556.436523,5
40,556.436523,4
43,556.436523,3
46,556.436523,2
51,556.436523,1
23,557.834017,6
32,564.392861,5
41,564.392861,4
44,564.392861,3
47,564.392861,2
52,574.364436,1
24,574.364436,6
33,574.364436,5
42,574.364436,4
45,574.364436,3
48,574.364436,2
53,590.410372,1
25,590.410372,6
34,590.410372,5
43,590.410372,4
46,590.410372,3
49,590.410372,2
54,608.94368,1
26,608.94368,6
35,608.94368,5
44,608.94368,4
47,608.94368,3
50,608.94368,2
55,626.668967,1
27,626.668967,6
36,626.668967,5
45,626.668967,4
48,626.668967,3
51,626.668967,2
56,632.568967,1
28,632.568967,6
37,633.253394,5
46,633.440816,4
49,633.568967,3
52,633.568967,2
57,638.468967,1
29,647.996808,6
38,647.996808,5
47,647.996808,4
50,647.996808,3
53,647.996808,2
58,647.996808,1
30,653.896808,6
39,658.983048,5
48,658.983048,4
51,658.983048,3
54,658.983048,2
59,658.983048,1
31,659.796808,6
40,666.883403,5
49,666.883403,4
52,666.883403,3
55,666.883403,2
60,675.144734,1
32,675.144734,6
41,675.637691,5
50,675.637691,4
53,675.637691,3
56,675.637691,2
61,681.044734,1
33,681.044734,6
42,690.549394,5
51,690.549394,4
54,690.549394,3
57,690.549394,2
62,690.549394,1
34,696.228163,6
43,699.797612,5
