id,ts,activity
68559,1,999
68569,2,999
68580,3,999
68586,4,999
68592,5,999
68604,6,999
68611,7,999
68618,8,999
68627,9,999
68636,10,999
68646,11,999
68655,12,999
68664,13,999
68675,14,999
68682,15,999
68690,16,999
68701,17,999
68711,18,999
68721,19,999
68727,20,999
68738,21,999
68744,22,999
68755,23,999
68762,24,999
68770,25,999
68780,26,999
68789,27,999
68795,28,999
68804,29,999
68814,30,999
68824,31,999
68835,32,999
68846,33,999
68856,34,999
68865,35,999
68874,36,999
68884,37,999
68894,38,999
68906,39,999
68916,40,999
68924,41,999
68934,42,999
68944,43,999
68952,44,999
68963,45,999
68973,46,999
68985,47,999
68995,48,999
69005,49,999
69014,50,999
69025,51,999
69037,52,999
69048,53,999
69056,54,999
69068,55,999
69079,56,999
69090,57,999
69099,58,999
69109,59,999
69120,60,999
69142,61,999
68569,1,998
68580,2,998
68586,3,998
68592,4,998
68604,5,998
68611,6,998
68618,7,998
68627,8,998
68636,9,998
68646,10,998
68655,11,998
68664,12,998
68674,13,998
68682,14,998
68690,15,998
68701,16,998
68711,17,998
68721,18,998
68727,19,998
68738,20,998
68744,21,998
68755,22,998
68762,23,998
68770,24,998
68780,25,998
68789,26,998
68795,27,998
68804,28,998
68814,29,998
68824,30,998
68835,31,998
68846,32,998
68856,33,998
68865,34,998
68874,35,998
68884,36,998
68894,37,998
68906,38,998
68916,39,998
68924,40,998
68934,41,998
68944,42,998
68952,43,998
68963,44,998
68973,45,998
68985,46,998
68995,47,998
69005,48,998
69014,49,998
69025,50,998
69036,51,998
69048,52,998
69056,53,998
69068,54,998
69079,55,998
69090,56,998
69099,57,998
69109,58,998
69120,59,998
69131,60,998
68577,1,997
68581,1,997
68591,2,997
68601,3,997
68610,4,997
68622,5,997
68631,6,997
68641,7,997
68650,8,997
68661,9,997
68671,10,997
68682,11,997
68693,12,997
68702,13,997
68711,14,997
68722,15,997
68732,16,997
68742,17,997
68754,18,997
68762,19,997
68771,20,997
68782,21,997
68792,22,997
68801,23,997
68811,24,997
68822,25,997
68833,26,997
68843,27,997
68852,28,997
68863,29,997
68872,30,997
68882,31,997
68892,32,997
68901,33,997
68912,34,997
68922,35,997
68930,36,997
68940,37,997
68950,38,997
68961,39,997
68971,40,997
68982,41,997
68993,42,997
69003,43,997
69012,44,997
69023,45,997
69033,46,997
69044,47,997
69054,48,997
69065,49,997
69076,50,997
69086,51,997
69097,52,997
69107,53,997
69118,54,997
69129,55,997
69137,56,997
69146,57,997
69157,58,997
69167,59,997
69179,60,997
68590,1,996
