id,activity,ts
1,1,0.062325
1,3,0.6882
1,5,0.72154
2,1,0.072359
2,3,2.5525
2,5,2.5859
3,1,0.11684
3,4,0.36588
3,5,0.39922
4,1,0.13777
4,4,1.0227
4,5,1.0561
5,1,0.27872
5,2,2.4197
5,5,2.453
6,1,0.28154
6,2,4.2529
6,5,4.2863
7,1,0.36588
7,4,1.8386
7,5,1.872
8,1,0.6882
8,3,2.5719
8,5,2.6192
9,1,1.0227
9,4,2.3813
9,5,2.4146
10,1,1.8386
10,4,2.5148
10,5,2.5481
11,1,2.3813
11,4,2.7117
11,5,2.7538
12,1,2.4197
12,2,6.3808
12,5,6.4141
13,1,2.5148
13,4,4.708
13,5,4.7413
14,1,2.5525
14,3,2.6872
14,5,2.7205
15,1,2.7556
15,4,5.3852
15,5,5.4185
16,1,2.7774
16,3,3.2063
16,5,3.2396
17,1,2.7972
17,3,4.8781
17,5,4.9114
18,1,3.2063
18,3,5.143
18,5,5.1763
19,1,4.2529
19,2,8.2515
19,5,8.3119
20,1,4.708
20,4,7.4893
20,5,7.5453
21,1,4.8781
21,3,7.4786
21,5,7.5119
22,1,5.143
22,3,8.2452
22,5,8.2785
23,1,5.3852
23,4,7.5948
23,5,7.6282
24,1,6.3808
24,2,10.113
24,5,10.146
25,1,7.4786
25,3,10.043
25,5,10.077
26,1,7.4919
26,4,7.9114
26,5,7.9447
27,1,7.5948
27,4,8.06
27,5,8.0933
28,1,7.9114
28,4,8.5335
28,5,8.5668
29,1,8.06
29,4,9.5221
29,5,9.5554
30,1,8.2452
30,3,10.76
30,5,10.793
31,1,8.257
31,2,12.042
31,5,12.076
32,1,8.5335
32,4,10.843
32,5,10.876
33,1,9.5221
33,4,11.41
33,5,11.443
34,1,10.043
34,3,12.078
34,5,12.112
35,1,10.113
35,2,13.914
35,5,13.947
36,1,10.76
36,3,12.748
36,5,12.781
37,1,10.843
37,4,11.632
37,5,11.666
38,1,11.41
38,4,11.9
38,5,11.933
39,1,11.632
39,4,11.932
39,5,11.967
40,1,11.9
40,4,12.513
40,5,12.547
41,1,11.932
41,4,13.837
41,5,13.871
42,1,12.042
42,2,15.982
42,5,16.016
43,1,12.1
43,3,12.755
43,5,12.814
44,1,12.513
44,4,15.079
44,5,15.113
45,1,12.748
45,3,13.048
45,5,13.081
46,1,12.776
46,3,15.084
46,5,15.146
47,1,13.048
47,3,15.327
47,5,15.361
48,1,13.837
48,4,16.765
48,5,16.799
49,1,13.914
49,2,17.642
49,5,17.676
50,1,15.079
50,4,17.427
50,5,17.46
51,1,15.162
51,3,16.075
51,5,16.108
52,1,15.327
52,3,18.261
52,5,18.294
53,1,15.982
53,2,19.822
53,5,19.855
54,1,16.102
54,3,18.596
54,5,18.629
55,1,16.765
55,4,19.099
55,5,19.132
56,1,17.427
56,4,19.247
56,5,19.28
57,1,17.642
57,2,21.572
57,5,21.606
58,1,18.261
58,3,20.588
58,5,20.622
59,1,18.596
59,3,21.092
59,5,21.125
60,1,19.099
60,4,19.251
60,5,19.314
61,1,19.247
61,4,20.103
61,5,20.136
62,1,19.254
62,4,20.478
62,5,20.511
63,1,19.822
63,2,23.423
63,5,23.457
64,1,20.103
64,4,21.902
64,5,21.935
65,1,20.478
65,4,22.063
65,5,22.096
66,1,20.588
66,3,23.145
66,5,23.178
67,1,21.092
67,3,24.535
67,5,24.568
68,1,21.572
68,2,25.214
68,5,25.247
69,1,21.902
69,4,22.575
69,5,22.609
70,1,22.063
70,4,24.356
70,5,24.389
71,1,22.575
71,4,25.614
71,5,25.647
72,1,23.145
72,3,25.789
72,5,25.822
73,1,23.423
73,2,27.393
73,5,27.427
74,1,24.356
74,4,25.633
74,5,25.681
75,1,24.535
75,3,26.014
75,5,26.047
76,1,25.214
76,2,29.518
76,5,29.552
77,1,25.614
77,4,26.55
77,5,26.583
78,1,25.633
78,4,27.009
78,5,27.042
79,1,25.789
79,3,28.006
79,5,28.04
80,1,26.014
80,3,28.917
80,5,28.95
81,1,26.55
81,4,27.079
81,5,27.112
82,1,27.009
82,4,27.522
82,5,27.555
83,1,27.079
83,4,27.763
83,5,27.796
84,1,27.393
84,2,31.373
84,5,31.406
85,1,27.522
85,4,28.59
85,5,28.623
86,1,27.763
86,4,29.538
86,5,29.585
87,1,28.006
87,3,29.216
87,5,29.249
88,1,28.59
88,4,29.56
88,5,29.618
89,1,28.917
89,3,30.531
89,5,30.594
90,1,29.216
90,3,32.567
90,5,32.601
91,1,29.518
91,2,33.289
91,5,33.322
92,1,29.549
92,4,30.208
92,5,30.241
93,1,29.56
93,4,30.435
93,5,30.469
94,1,30.208
94,4,30.527
94,5,30.561
95,1,30.435
95,4,30.952
95,5,30.986
96,1,30.626
96,3,33.092
96,5,33.125
97,1,30.629
97,4,31.021
97,5,31.055
98,1,30.952
98,4,32.32
98,5,32.353
99,1,31.123
99,4,33.989
99,5,34.022
100,1,31.373
100,2,35.008
100,5,35.041
101,1,32.32
101,4,34.708
101,5,34.741
102,1,32.567
102,3,33.661
102,5,33.695
103,1,33.092
103,3,33.724
103,5,33.757
104,1,33.289
104,2,36.739
104,5,36.772
105,1,33.661
105,3,34.157
105,5,34.19
106,1,33.75
106,3,35.316
106,5,35.35
107,1,33.989
107,4,34.943
107,5,34.977
108,1,34.157
108,3,35.665
108,5,35.699
109,1,34.708
109,4,36.11
109,5,36.143
110,1,34.943
110,4,36.114
110,5,36.176
111,1,35.008
111,2,38.505
111,5,38.538
112,1,35.316
112,3,36.059
112,5,36.093
113,1,35.665
113,3,36.384
113,5,36.418
114,1,36.059
114,3,36.522
114,5,36.555
115,1,36.11
115,4,38.039
115,5,38.072
116,1,36.124
116,4,38.84
116,5,38.906
117,1,36.384
117,3,38.066
117,5,38.106
118,1,36.522
118,3,38.84
118,5,38.873
119,1,36.739
119,2,40.213
119,5,40.272
120,1,38.039
120,4,40.205
120,5,40.238
121,1,38.094
121,3,38.867
121,5,38.94
122,1,38.505
122,2,42.212
122,5,42.245
123,1,38.84
123,3,45.26
123,5,45.294
124,1,38.885
124,4,40.625
124,5,40.658
125,1,38.959
125,3,45.613
125,5,45.676
126,1,40.205
126,4,41.093
126,5,41.126
127,1,40.274
127,2,44.304
127,5,44.337
128,1,40.625
128,4,41.194
128,5,41.227
129,1,41.093
129,4,42.775
129,5,42.808
130,1,41.194
130,4,43.846
130,5,43.879
131,1,42.212
131,2,45.988
131,5,46.022
132,1,42.775
132,4,45.609
132,5,45.643
133,1,43.846
133,4,46.319
133,5,46.353
134,1,44.304
134,2,47.922
134,5,47.955
135,1,45.26
135,3,49.854
135,5,49.888
136,1,45.609
136,4,47.069
136,5,47.103
137,1,45.762
137,3,51.493
137,5,51.527
138,1,45.988
138,2,49.595
138,5,49.629
139,1,46.319
139,4,48.956
139,5,48.989
140,1,47.069
140,4,49.328
140,5,49.361
141,1,47.922
141,2,51.55
141,5,51.593
142,1,48.956
142,4,49.676
142,5,49.709
143,1,49.328
143,4,50.029
143,5,50.063
144,1,49.595
144,2,53.635
144,5,53.683
145,1,49.676
145,4,50.263
145,5,50.296
146,1,49.854
146,3,51.509
146,5,51.56
147,1,50.029
147,4,50.623
147,5,50.656
148,1,50.263
148,4,53.616
148,5,53.649
149,1,50.623
149,4,53.939
149,5,53.973
150,1,51.493
150,3,51.978
150,5,52.012
151,1,51.509
151,3,52.394
151,5,52.428
152,1,51.55
152,2,55.698
152,5,55.731
153,1,51.978
153,3,52.679
153,5,52.713
154,1,52.394
154,3,53.103
154,5,53.136
155,1,52.679
155,3,55.176
155,5,55.209
156,1,53.103
156,3,56.169
156,5,56.202
157,1,53.616
157,4,54.099
157,5,54.132
158,1,53.635
158,2,57.795
158,5,57.828
159,1,53.939
159,4,54.942
159,5,54.975
160,1,54.099
160,4,57.125
160,5,57.158
161,1,54.942
161,4,59.566
161,5,59.599
162,1,55.176
162,3,56.475
162,5,56.508
163,1,55.698
163,2,59.972
163,5,60.005
164,1,56.169
164,3,57.659
164,5,57.692
165,1,56.475
165,3,57.902
165,5,57.936
166,1,57.125
166,4,62.801
166,5,62.834
167,1,57.659
167,3,58.271
167,5,58.304
168,1,57.795
168,2,61.845
168,5,61.884
169,1,57.902
169,3,58.274
169,5,58.337
170,1,58.271
170,3,58.758
170,5,58.792
171,1,58.286
171,3,60.054
171,5,60.087
172,1,58.758
172,3,60.645
172,5,60.679
173,1,59.566
173,4,65.171
173,5,65.204
174,1,59.972
174,2,63.977
174,5,64.011
175,1,60.054
175,3,61.818
175,5,61.851
176,1,60.645
176,3,62.397
176,5,62.43
177,1,61.818
177,3,64.787
177,5,64.82
178,1,61.845
178,2,65.852
178,5,65.885
179,1,62.397
179,3,64.856
179,5,64.89
180,1,62.801
180,4,65.428
180,5,65.461
181,1,63.977
181,2,67.787
181,5,67.82
182,1,64.787
182,3,65.362
182,5,65.396
183,1,64.886
183,3,66.418
183,5,66.452
184,1,65.171
184,4,65.757
184,5,65.79
185,1,65.362
185,3,67.288
185,5,67.321
186,1,65.428
186,4,66.16
186,5,66.194
187,1,65.757
187,4,66.728
187,5,66.762
188,1,65.852
188,2,69.488
188,5,69.522
189,1,66.16
189,4,67.22
189,5,67.254
190,1,66.418
190,3,67.588
190,5,67.622
191,1,66.728
191,4,67.84
191,5,67.873
192,1,67.22
192,4,68.86
192,5,68.893
193,1,67.288
193,3,72.318
193,5,72.352
194,1,67.588
194,3,72.961
194,5,72.995
195,1,67.787
195,2,71.677
195,5,71.725
196,1,67.84
196,4,69.865
196,5,69.898
197,1,68.86
197,4,70.245
197,5,70.278
198,1,69.488
198,2,73.716
198,5,73.757
199,1,69.865
199,4,70.568
199,5,70.601
200,1,70.245
200,4,70.677
200,5,70.71
201,1,70.568
201,4,71.659
201,5,71.692
202,1,70.677
202,4,72.739
202,5,72.772
203,1,71.659
203,4,73.691
203,5,73.724
204,1,71.78
204,2,75.672
204,5,75.705
205,1,72.318
205,3,73.048
205,5,73.081
206,1,72.739
206,4,76.885
206,5,76.918
207,1,72.961
207,3,73.161
207,5,73.194
208,1,73.048
208,3,73.527
208,5,73.56
209,1,73.161
209,3,73.607
209,5,73.64
210,1,73.527
210,3,74.039
210,5,74.072
211,1,73.607
211,3,75.344
211,5,75.377
212,1,73.691
212,4,77.644
212,5,77.677
213,1,73.716
213,2,77.497
213,5,77.53
214,1,74.039
214,3,77.418
214,5,77.452
215,1,75.344
215,3,78.021
215,5,78.054
216,1,75.672
216,2,79.184
216,5,79.237
217,1,76.885
217,4,78.173
217,5,78.206
218,1,77.418
218,3,79.224
218,5,79.27
219,1,77.497
219,2,81.122
219,5,81.155
220,1,77.644
220,4,78.357
220,5,78.39
221,1,78.021
221,3,81.561
221,5,81.594
222,1,78.173
222,4,78.947
222,5,78.98
223,1,78.357
223,4,79.17
223,5,79.203
224,1,78.947
224,4,79.582
224,5,79.615
225,1,79.17
225,4,80.259
225,5,80.292
226,1,79.184
226,2,82.89
226,5,82.923
227,1,79.224
227,3,83.033
227,5,83.067
228,1,79.582
228,4,81.604
228,5,81.637
229,1,80.259
229,4,81.849
229,5,81.883
230,1,81.122
230,2,84.96
230,5,85.01
231,1,81.561
231,3,83.303
231,5,83.336
232,1,81.604
232,4,81.901
232,5,81.934
233,1,81.849
233,4,82.236
233,5,82.269
234,1,81.927
234,4,83.692
234,5,83.725
235,1,82.236
235,4,84.943
235,5,84.977
236,1,82.89
236,2,86.874
236,5,86.907
237,1,83.033
237,3,84.815
237,5,84.849
238,1,83.303
238,3,86.974
238,5,87.008
239,1,83.692
239,4,85.32
239,5,85.353
240,1,84.815
240,3,89.139
240,5,89.172
241,1,84.943
241,4,87.452
241,5,87.485
242,1,84.98
242,2,88.977
242,5,89.01
243,1,85.32
243,4,88.239
243,5,88.272
244,1,86.874
244,2,90.822
244,5,90.855
245,1,86.974
245,3,89.472
245,5,89.505
246,1,87.452
246,4,90.675
246,5,90.708
247,1,88.239
247,4,93.993
247,5,94.026
248,1,88.977
248,2,92.765
248,5,92.798
249,1,89.139
249,3,89.794
249,5,89.828
250,1,89.472
250,3,89.972
250,5,90.005
251,1,89.794
251,3,90.752
251,5,90.785
252,1,89.972
252,3,91.303
252,5,91.336
253,1,90.675
253,4,94.966
253,5,95
254,1,90.752
254,3,92.34
254,5,92.373
255,1,90.822
255,2,94.741
255,5,94.774
256,1,91.303
256,3,92.89
256,5,92.923
257,1,92.34
257,3,93.208
257,5,93.242
258,1,92.765
258,2,96.459
258,5,96.492
259,1,92.89
259,3,95.19
259,5,95.223
260,1,93.208
260,3,98.758
260,5,98.792
261,1,93.993
261,4,96.244
261,5,96.278
262,1,94.741
262,2,98.387
262,5,98.42
263,1,94.966
263,4,96.271
263,5,96.311
264,1,95.19
264,3,100.23
264,5,100.26
265,1,96.244
265,4,97.377
265,5,97.41
266,1,96.306
266,4,97.394
266,5,97.443
267,1,96.459
267,2,100.09
267,5,100.12
268,1,97.377
268,4,102.38
268,5,102.41
269,1,97.424
269,4,103.4
269,5,103.44
270,1,98.387
270,2,101.8
270,5,101.83
271,1,98.758
271,3,103.98
271,5,104.01
272,1,100.09
272,2,103.54
272,5,103.57
273,1,100.23
