id,activity,ts
1,1,0.062325
2,1,0.072359
3,1,0.11684
4,1,0.13777
5,1,0.27872
6,1,0.28154
3,4,0.36588
7,1,0.36588
3,5,0.39922
1,3,0.6882
8,1,0.6882
1,5,0.72154
4,4,1.0227
9,1,1.0227
4,5,1.0561
7,4,1.8386
10,1,1.8386
7,5,1.872
9,4,2.3813
11,1,2.3813
9,5,2.4146
5,2,2.4197
12,1,2.4197
5,5,2.453
10,4,2.5148
13,1,2.5148
10,5,2.5481
2,3,2.5525
14,1,2.5525
8,3,2.5719
2,5,2.5859
8,5,2.6192
14,3,2.6872
11,4,2.7117
14,5,2.7205
11,5,2.7538
15,1,2.7556
16,1,2.7774
17,1,2.7972
16,3,3.2063
18,1,3.2063
16,5,3.2396
6,2,4.2529
19,1,4.2529
6,5,4.2863
13,4,4.708
20,1,4.708
13,5,4.7413
17,3,4.8781
21,1,4.8781
17,5,4.9114
18,3,5.143
22,1,5.143
18,5,5.1763
15,4,5.3852
23,1,5.3852
15,5,5.4185
12,2,6.3808
24,1,6.3808
12,5,6.4141
21,3,7.4786
25,1,7.4786
20,4,7.4893
26,1,7.4919
21,5,7.5119
20,5,7.5453
23,4,7.5948
27,1,7.5948
23,5,7.6282
26,4,7.9114
28,1,7.9114
26,5,7.9447
27,4,8.06
29,1,8.06
27,5,8.0933
22,3,8.2452
30,1,8.2452
19,2,8.2515
31,1,8.257
22,5,8.2785
19,5,8.3119
28,4,8.5335
32,1,8.5335
28,5,8.5668
29,4,9.5221
33,1,9.5221
29,5,9.5554
25,3,10.043
34,1,10.043
25,5,10.077
24,2,10.113
35,1,10.113
24,5,10.146
30,3,10.76
36,1,10.76
30,5,10.793
32,4,10.843
37,1,10.843
32,5,10.876
33,4,11.41
38,1,11.41
33,5,11.443
37,4,11.632
39,1,11.632
37,5,11.666
38,4,11.9
40,1,11.9
39,4,11.932
41,1,11.932
38,5,11.933
39,5,11.967
31,2,12.042
42,1,12.042
31,5,12.076
34,3,12.078
43,1,12.1
34,5,12.112
40,4,12.513
44,1,12.513
40,5,12.547
36,3,12.748
45,1,12.748
43,3,12.755
46,1,12.776
36,5,12.781
43,5,12.814
45,3,13.048
47,1,13.048
45,5,13.081
41,4,13.837
48,1,13.837
41,5,13.871
35,2,13.914
49,1,13.914
35,5,13.947
44,4,15.079
50,1,15.079
46,3,15.084
44,5,15.113
46,5,15.146
51,1,15.162
47,3,15.327
52,1,15.327
47,5,15.361
42,2,15.982
53,1,15.982
42,5,16.016
51,3,16.075
54,1,16.102
51,5,16.108
48,4,16.765
55,1,16.765
48,5,16.799
50,4,17.427
56,1,17.427
50,5,17.46
49,2,17.642
57,1,17.642
49,5,17.676
52,3,18.261
58,1,18.261
52,5,18.294
54,3,18.596
59,1,18.596
54,5,18.629
55,4,19.099
60,1,19.099
55,5,19.132
56,4,19.247
61,1,19.247
60,4,19.251
62,1,19.254
56,5,19.28
60,5,19.314
53,2,19.822
63,1,19.822
53,5,19.855
61,4,20.103
64,1,20.103
61,5,20.136
62,4,20.478
65,1,20.478
62,5,20.511
58,3,20.588
66,1,20.588
58,5,20.622
59,3,21.092
67,1,21.092
59,5,21.125
57,2,21.572
68,1,21.572
57,5,21.606
64,4,21.902
69,1,21.902
64,5,21.935
65,4,22.063
70,1,22.063
65,5,22.096
69,4,22.575
71,1,22.575
69,5,22.609
66,3,23.145
72,1,23.145
66,5,23.178
63,2,23.423
73,1,23.423
63,5,23.457
70,4,24.356
74,1,24.356
70,5,24.389
67,3,24.535
75,1,24.535
67,5,24.568
68,2,25.214
76,1,25.214
68,5,25.247
71,4,25.614
77,1,25.614
74,4,25.633
78,1,25.633
71,5,25.647
74,5,25.681
72,3,25.789
79,1,25.789
72,5,25.822
75,3,26.014
80,1,26.014
75,5,26.047
77,4,26.55
81,1,26.55
77,5,26.583
78,4,27.009
82,1,27.009
78,5,27.042
81,4,27.079
83,1,27.079
81,5,27.112
73,2,27.393
84,1,27.393
73,5,27.427
82,4,27.522
