Time: 263 - [Conveyor towards Queue 1] GOT Part 33
Time: 268 - [Conveyor towards Queue 2] PUT Part 32 in the Queue 2
Time: 272 - [Conveyor towards Queue 1] PUT Part 33 in the Queue 1
Time: 273 - [Machine 1] got Part 33 from Queue 1 (capacity= 0)
Time: 274 - [Conveyor towards Queue 5] PUT Part 17 in the Queue 5
! Using 'alternated' policy to allocate Part 31 to Queue 4
Time: 275 - [Conveyor towards Queue 4] GOT Part 31
Time: 275 - [Machine 2] got Part 32 from Queue 2 (capacity= 0)
Time: 275 - [Machine 5] got Part 17 from Queue 5 (capacity= 0)
! Using 'alternated' policy to allocate Part 29 to Queue 5
Time: 279 - [Conveyor towards Queue 5] GOT Part 29
! Using 'alternated' policy to allocate Part 33 to Queue 2
Time: 284 - [Conveyor towards Queue 2] GOT Part 33
! Using 'alternated' policy to allocate Part 17 to Queue 1
Time: 285 - [Terminator] xxx Part 17 terminated xxx
Time: 285 - [Terminator] Part 34 replaced
Time: 285 - [Conveyor towards Queue 1] GOT Part 34
Time: 290 - [Conveyor towards Queue 5] PUT Part 29 in the Queue 5
Time: 291 - [Machine 5] got Part 29 from Queue 5 (capacity= 0)
! Using 'alternated' policy to allocate Part 32 to Queue 3
Time: 292 - [Conveyor towards Queue 3] GOT Part 32
Time: 294 - [Conveyor towards Queue 1] PUT Part 34 in the Queue 1
Time: 295 - [Machine 1] got Part 34 from Queue 1 (capacity= 0)
Time: 295 - [Conveyor towards Queue 2] PUT Part 33 in the Queue 2
Time: 295 - [Conveyor towards Queue 4] PUT Part 31 in the Queue 4
Time: 296 - [Machine 2] got Part 33 from Queue 2 (capacity= 0)
Time: 296 - [Machine 4] got Part 31 from Queue 4 (capacity= 0)
! Using 'alternated' policy to allocate Part 29 to Queue 1
Time: 301 - [Terminator] xxx Part 29 terminated xxx
Time: 301 - [Terminator] Part 35 replaced
Time: 301 - [Conveyor towards Queue 1] GOT Part 35
! Using 'alternated' policy to allocate Part 34 to Queue 2
Time: 306 - [Conveyor towards Queue 2] GOT Part 34
Time: 310 - [Conveyor towards Queue 1] PUT Part 35 in the Queue 1
Time: 311 - [Machine 1] got Part 35 from Queue 1 (capacity= 0)
! Using 'alternated' policy to allocate Part 33 to Queue 4
Time: 313 - [Conveyor towards Queue 4] GOT Part 33
Time: 315 - [Conveyor towards Queue 3] PUT Part 32 in the Queue 3
Time: 317 - [Conveyor towards Queue 2] PUT Part 34 in the Queue 2
Time: 318 - [Machine 2] got Part 34 from Queue 2 (capacity= 0)
! Using 'alternated' policy to allocate Part 35 to Queue 2
Time: 322 - [Conveyor towards Queue 2] GOT Part 35
! Using 'alternated' policy to allocate Part 19 to Queue 5
Time: 323 - [Conveyor towards Queue 5] GOT Part 19
Time: 323 - [Machine 3] got Part 20 from Queue 3 (capacity= 6)
Time: 333 - [Conveyor towards Queue 2] PUT Part 35 in the Queue 2
Time: 333 - [Conveyor towards Queue 4] PUT Part 33 in the Queue 4
! Using 'alternated' policy to allocate Part 31 to Queue 5
Time: 334 - [Conveyor towards Queue 5] GOT Part 31
Time: 334 - [Machine 4] got Part 33 from Queue 4 (capacity= 0)
Time: 334 - [Conveyor towards Queue 5] PUT Part 19 in the Queue 5
! Using 'alternated' policy to allocate Part 34 to Queue 3
Time: 335 - [Conveyor towards Queue 3] GOT Part 34
Time: 335 - [Machine 2] got Part 35 from Queue 2 (capacity= 0)
Time: 335 - [Machine 5] got Part 19 from Queue 5 (capacity= 0)
! Using 'alternated' policy to allocate Part 19 to Queue 1
Time: 345 - [Terminator] xxx Part 19 terminated xxx
Time: 345 - [Terminator] Part 36 replaced
Time: 345 - [Conveyor towards Queue 1] GOT Part 36
Time: 345 - [Conveyor towards Queue 5] PUT Part 31 in the Queue 5
=== Reading all the events from table: digital_log ===
(1, 0, 'Machine 2', 'Started', 'Part 18', 'Queue 2', None, None)
(2, 8, 'Machine 1', 'Finished', 'Part 22', 'Queue 2', None, None)
(3, 12, 'Machine 4', 'Finished', 'Part 14', 'Queue 5', None, None)
(4, 12, 'Machine 4', 'Started', 'Part 16', 'Queue 4', None, None)
(5, 17, 'Machine 2', 'Finished', 'Part 18', 'Queue 4', None, None)
(6, 17, 'Machine 2', 'Started', 'Part 19', 'Queue 2', None, None)
(7, 23, 'Machine 3', 'Finished', 'Part 9', 'Queue 5', None, None)
(8, 23, 'Machine 3', 'Started', 'Part 11', 'Queue 3', None, None)
(9, 24, 'Machine 5', 'Started', 'Part 14', 'Queue 5', None, None)
(10, 34, 'Machine 2', 'Finished', 'Part 19', 'Queue 3', None, None)
(11, 34, 'Machine 2', 'Started', 'Part 20', 'Queue 2', None, None)
(12, 34, 'Machine 5', 'Finished', 'Part 14', 'Queue 1', None, None)
(13, 35, 'Machine 5', 'Started', 'Part 9', 'Queue 5', None, None)
(14, 44, 'Machine 1', 'Started', 'Part 23', 'Queue 1', None, None)
(15, 45, 'Machine 5', 'Finished', 'Part 9', 'Queue 1', None, None)
(16, 50, 'Machine 4', 'Finished', 'Part 16', 'Queue 5', None, None)
(17, 50, 'Machine 4', 'Started', 'Part 18', 'Queue 4', None, None)
(18, 51, 'Machine 2', 'Finished', 'Part 20', 'Queue 3', None, None)
(19, 51, 'Machine 2', 'Started', 'Part 21', 'Queue 2', None, None)
(20, 55, 'Machine 1', 'Finished', 'Part 23', 'Queue 2', None, None)
(21, 55, 'Machine 1', 'Started', 'Part 24', 'Queue 1', None, None)
(22, 62, 'Machine 5', 'Started', 'Part 16', 'Queue 5', None, None)
(23, 66, 'Machine 1', 'Finished', 'Part 24', 'Queue 2', None, None)
(24, 68, 'Machine 2', 'Finished', 'Part 21', 'Queue 4', None, None)
(25, 68, 'Machine 2', 'Started', 'Part 22', 'Queue 2', None, None)
(26, 72, 'Machine 5', 'Finished', 'Part 16', 'Queue 1', None, None)
(27, 82, 'Machine 1', 'Started', 'Part 25', 'Queue 1', None, None)
(28, 83, 'Machine 3', 'Finished', 'Part 11', 'Queue 5', None, None)
(29, 83, 'Machine 3', 'Started', 'Part 13', 'Queue 3', None, None)
(30, 85, 'Machine 2', 'Finished', 'Part 22', 'Queue 3', None, None)
(31, 85, 'Machine 2', 'Started', 'Part 23', 'Queue 2', None, None)
(32, 88, 'Machine 4', 'Finished', 'Part 18', 'Queue 5', None, None)
(33, 89, 'Machine 4', 'Started', 'Part 21', 'Queue 4', None, None)
(34, 93, 'Machine 1', 'Finished', 'Part 25', 'Queue 2', None, None)
(35, 95, 'Machine 5', 'Started', 'Part 11', 'Queue 5', None, None)
(36, 102, 'Machine 2', 'Finished', 'Part 23', 'Queue 4', None, None)
(37, 102, 'Machine 2', 'Started', 'Part 24', 'Queue 2', None, None)
(38, 105, 'Machine 5', 'Finished', 'Part 11', 'Queue 1', None, None)
(39, 105, 'Machine 5', 'Started', 'Part 18', 'Queue 5', None, None)
(40, 115, 'Machine 5', 'Finished', 'Part 18', 'Queue 1', None, None)
(41, 115, 'Machine 1', 'Started', 'Part 26', 'Queue 1', None, None)
(42, 119, 'Machine 2', 'Finished', 'Part 24', 'Queue 3', None, None)
(43, 119, 'Machine 2', 'Started', 'Part 25', 'Queue 2', None, None)
(44, 126, 'Machine 1', 'Finished', 'Part 26', 'Queue 2', None, None)
(45, 126, 'Machine 1', 'Started', 'Part 27', 'Queue 1', None, None)
(46, 127, 'Machine 4', 'Finished', 'Part 21', 'Queue 5', None, None)
(47, 127, 'Machine 4', 'Started', 'Part 23', 'Queue 4', None, None)
(48, 136, 'Machine 2', 'Finished', 'Part 25', 'Queue 4', None, None)
(49, 137, 'Machine 1', 'Finished', 'Part 27', 'Queue 2', None, None)
(50, 138, 'Machine 2', 'Started', 'Part 26', 'Queue 2', None, None)
