Name,Type,Material Type,Link,Keyword,Country,Year,Abstract,Responsible,Status,Created by,Created time
Digital twin design for real-time monitoring - a case study of die cutting machine,Academic,Technical paper,https://www.tandfonline.com/doi/full/10.1080/00207543.2020.1817999,"Digital twin, monitoring",Taiwan,,,,Not started,Alex,"October 18, 2022 2:38 PM"
https://ieeexplore.ieee.org/document/9325551/,Academic,Technical paper,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9325551,"Digital twin, Healthcare, monitoring",Italy,,,,Not started,Alex,"October 18, 2022 2:47 PM"
"Digital Twin: Values, Challenges and Enablers From a Modeling Perspective",Academic,Technical paper,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8972429,"Digital twin, Hybrid Analysis and Modeling, Machine learning","Norway, United States",,,,Not started,Alex,"October 18, 2022 2:58 PM"
Cyber-Physical Cloud Manufacturing Systems With Digital,Academic,Technical paper,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9353208,"Digital twin, MTconnect, cyberphysical cloud manufacturing (CPCM) systems",United States,,,,Not started,Alex,"October 18, 2022 3:04 PM"
Data‐driven physics‐based digital twins via a library of component‐based reduced‐order models,Academic,Technical paper,https://onlinelibrary.wiley.com/doi/epdf/10.1002/nme.6423,"Digital twin, data-model fusion, reduced-order model","Switzerland, United States",,,,Not started,Alex,"October 18, 2022 3:11 PM"
"Autonomous, context-aware, adaptive Digital Twins—State of the art and roadmap",Academic,Technical paper,https://www.sciencedirect.com/science/article/pii/S0166361521001159/pdfft?md5=9182c4ea09cdc8d60c74a5e2098f039e&pid=1-s2.0-S0166361521001159-main.pdf,"Autonomy, Digital factories, Digital twin, State of the art","Germany, Greece, Italy",,,,Not started,Alex,"October 18, 2022 3:18 PM"
Digital Twins,Academic,Cumulative report,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9713922,"Digital twin, State of the art",Not Applicable,,,,Not started,Alex,"October 18, 2022 3:26 PM"
Digital Twins Technology,Academic,Book,https://doi.org/10.1201/9781003132868,"Applications, Techniques & concepts","Egypt, India",,,,Not started,Alex,"October 18, 2022 3:32 PM"
"The connotation of digital twin, and the construction and application method of shop-floor digital twin",Academic,Technical paper,https://www.sciencedirect.com/science/article/pii/S0736584520302854/pdfft?md5=f51962adc4d722b1c180dc90585dae96&pid=1-s2.0-S0736584520302854-main.pdf,"Digital Mapping, Digital twin, Feasibility, Markov chains, Product life cycle, Shop floor",China,,,,Not started,Alex,"October 18, 2022 3:42 PM"
Digital Twin as a Service (DTaaS) in Industry 4.0: An Architecture Reference Model,Academic,Technical paper,https://www.sciencedirect.com/science/article/pii/S1474034620301944/pdfft?md5=471a141581b971291af50d2f517d9004&pid=1-s2.0-S1474034620301944-main.pdf,"Architecture, Digital twin","Hong Kong, New Zealand",,,,Not started,Alex,"October 18, 2022 3:53 PM"
NTT - Nippon Telegraph and Telephone,Industrial,Website,https://services.global.ntt/en-us/about-us/tour-de-france-report?utm_source=PPC&utm_medium=Paid&utm_campaign=NTTGL_TDF&utm_content=Report_IND&campaignID=7018d000000ksqpAAA&gclid=CjwKCAjwwL6aBhBlEiwADycBIIr3vbUWrnlU5vZ3rQwYdFl8kNsTsTIDep7oYqrenKN58gZ1oaq6YhoCQfoQAvD_BwE,"Healthcare, IT solutions, Manufacturing, Racing",Japan,,,,Not started,Alex,"October 19, 2022 2:42 PM"
Pratiti Technologies,Industrial,Website,https://www.pratititech.com/technology-expertise/digital-twin-software-platforms/,"Automobile, Digital twin, Healthcare, IT solutions, Manufacturing, PaaS",India,,,,Not started,Alex,"October 19, 2022 3:05 PM"
Intangles,Industrial,Website,https://www.intangles.ai/,"Automobile, Digital twin, PaaS, Prediction & Forecast, monitoring",India,,,,Not started,Alex,"October 19, 2022 3:34 PM"
DT Global Survey Report 2022 (By Altair),Business,Report,https://www.altair.com/docs/default-source/pdfs/altair_dt-global-survey-report_web.pdf?sfvrsn=b5aceaa9_28&_ga=2.128919884.1946484581.1666187325-345248934.1666187325&_gac=1.260187903.1666187325.CjwKCAjwwL6aBhBlEiwADycBIJL7R463YqVXXwMWJaNcbb-87j6dckBr8mB81LW-GjfzVvZC_YiOmRoCeCoQAvD_BwE,"Applications, Digital twin, Techniques & concepts",United States,,,,Not started,Alex,"October 19, 2022 3:50 PM"
