papers_name,papers_abstract,papers_year,papers_keywords,papers_type,papers_country,papers_cluster_number,papers_keywords_score
A consistency evaluation method for digital twin models,"Digital twin has shown its great application values in various fields in the past few years, especially manufacturing. During the process of digital twin implementation, the digital twin model is one of the most important foundations. Because the effectiveness and accuracy of digital twin models could directly affect the quality of related services. Nowadays, some efforts have been made on digital twin modeling methods, e.g. multi-disciplinary modeling method, multi-dimension modeling method, and multi-scale modeling method. Besides, the research on Industrial Internet of Things makes it possible to realize the synchronization between digital twin models and the corresponding physical objects. However, the attention on how to conduct a comprehensive consistency evaluation between the models and corresponding physical objects is not enough. Against the background, this paper proposed a consistency evaluation framework towards digital twin shop-floor (DTS) models. The consistency evaluation method mainly contains two phases, i.e. before and after model assembly and model fusion. Before model assembly and model fusion, the geometry models, physics models, behavior models, and rule models are mainly considered. After model assembly and fusion, the overall performance of assembled models and fusion models is paid more attention. Furthermore, the analytic hierarchy process(AHP) is used to form a comprehensive consistency evaluation result for DTS models. At last, a specific application scenario in complex product AIT (Assembly, Integration and Test) shop-floor is given to explain how to apply the proposed framework and method. © 2022 The Society of Manufacturing Engineers",2022,Analytic hierarchy process Assembly Floors Consistency Evaluation methods Model assembly Model fusion Model method Model validation Model verification Multi-disciplinary modeling Physical objects Shopfloors Industrial researchConsistency Digital twin Model validation Model verification Shop-floor,academic,"School of Automation Science and Electrical Engineering, Beihang University, Beijing, 100083, China; Shenyuan Hornors College, Beihang University, Beijing, 100083, China; Digital Twin International Research Center, International Research Institute for Multidisciplinary Science, Beihang University, Beijing, 100191, China",7,0.3125
Modelling and online training method for digital twin workshop,"Aiming at the difficulties in modelling, simulation and verification in digital twin workshop, a modelling and online training method for digital twin workshop is proposed. This paper describes a multi-level digital twin aggregate modelling method, including the status attributes, the static performance attributes and the fluctuation performance attributes, and designs a digital twin organisation system, namely, digital twin graph. According to the data demand for digital twin aggregates, a spatio-temporal data model is constructed. The digital twin model training method using truncated normal distribution is presented. Furthermore, a verification method based on real-virtual error for a digital twin model is proposed. The effectiveness of real-time status monitoring, online model training and simulation for production is verified by a case. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",2022,E-learning Normal distribution Online systems Digital twin aggregate Digital twin modeling Digital twin workshop Model training Model validation Model verification Modeling simulation Online training Spatiotemporal data model Training methods Aggregatesdigital twin aggregate Digital twin modelling digital twin workshop model validation online training spatio-temporal data model,academic,"College of Mechanical and Electrical Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China",7,0.2222222222222222
A multi-scale modeling method for digital twin shop-floor,"Digital twin has attracted more and more attentions in the past few years. To put digital twin into practice, modeling is one of the most important foundations. Under this background, some modeling research on digital twin shop-floor which is regarded as the basic unit for realizing smart manufacturing has been carried out. However, current research pays scant attention to the multi-scale features of shop-floor, which hinders the effective application of digital twin shop-floor. As for the problem about how to realize the model construction from the perspective of time-scale and space-scale, this paper firstly proposed a multi-layer modeling framework for supporting model construction from unit layer to system layer to system of system layer. Moreover, the mechanism of model changes over time is also considered. Then, the specific procedures and methods of model assembly, model fusion and model update towards machines and shop-floor are discussed respectively. Finally, a satellite AIT(Assembly, Integration and Test) shop-floor is chosen as the case to validate the correctness and feasibility of proposed framework, procedures and methods. © 2021 The Society of Manufacturing Engineers",2022,Floors Digital twin shop-floor Model assembly Model construction Model fusion Model method Model updates Modeling Multiscale modeling Shopfloors System layer Industrial researchDigital twin Digital twin shop-floor Model assembly Model fusion Model update Modeling,academic,"School of Automation Science and Electrical Engineering, Beihang University, Beijing, 100191, China; Shenyuan Hornors College, Beihang University, Beijing, 100191, China; Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, Hong Kong, Hong Kong",7,0.36363636363636365
Multidimensional data modeling and model validation for digital twin workshop,"Digital twin workshop (DTW) is an important embodiment of intelligent manufacturing in the workshop level, which enables the smart production control and management of the workshop. However, there still exist problems including data modeling and verification of digital model in the process of DTW construction. To solve these problem, multidimensional data modeling and model validation methods of DTW are proposed in this article. First, five-order tensor models for representing manufacturing elements are established to unify the data from physical workshop (PW) and virtual workshop (VW). Then, the mathematical method for verifying DTW twin model is proposed from the recessive and explicit perspective. Finally, a case study of an aerospace machining workshop is carried out to verify the operability and effectiveness of the proposed method. The case analysis shows that the proposed methods can effectively evaluate whether the twin model accurately provides the description of the actual behavior process of physical workshop, and the proposed methods have good performance. © 2021 by ASTM International.",2021,Digital twin Information analysis Production control Behavior process Control and management Intelligent Manufacturing Mathematical method Model validation Modeling and verifications Multidimensional data modeling Virtual workshops Manufacture,academic,"College of Mechanical and Electrical Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, 210016, China; China Academy of Launch Vehicle Technology, Beijing, 100076, China",7,0.2692307692307692
Theory of digital twin modeling and its application; [数字孪生模型构建理论及应用],"Digital twin is a hot point nowadays, and has received great attention from both academia and industry. The first problem faced by users when utilizing digital twin is how to realize the modeling of a digital twin. However, model is a core part in any digital twin as well as its industrial application. Unfortunately, there is no criterion for digital twin modelling until now, and it lacks theoretical support for accurate modeling when studying and utilizing digital twin. For addressing this problem, the modelling criterion of digital twin was put forward. Then a theoretical system for digital twin modelling was established from six aspects, including model construction, model assembly, model fusion, model verification, model validation and model management. The proposed criterion and theory for digital twin modelling were applied in the construction of Digital Twin Shop-floor (DTS). Furthermore, three key technologies in DTS, including modeling of shop-floor elements, modeling of data-driven dynamic production process and modeling of production system simulation were studied in detail.These works were expected to provide theoretical references for the construction and application of digital twin in different industrial fields, especially in shop-floor. © 2021, Editorial Department of CIMS. All right reserved.",2021,Floors Accurate modeling Dynamic production Industrial fields Key technologies Model construction Model verification Production system Theoretical system Digital twinDigital twin Digital twin shop-floor Modelling Modelling criterion Smart manufacturing Theoretical system,academic,"School of Automation Science and Electrical Engineering, Beihang University, Beijing, 100191, China; Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, Hong Kong, 999077, Hong Kong; State Key Laboratory for Manufacturing Systems Engineering, Xi'an Jiaotong University, Xi'an, 710049, China; School of Mechanical Engineering, Shandong University, Jinan, 250002, China; School of Mechanical Engineering, Southeast University, Nanjing, 210096, China; SIPPR Engineering Group Co., Ltd., Zhengzhou, 450007, China; Beijing Institute of Satellite Environmental Engineering, Beijing, 100094, China",7,0.3
Conceiving a Digital Twin for a Flexible Manufacturing System,"Digitization and virtualization represent key factors in the era of Industry 4.0. Digital twins (DT) can certainly contribute to increasing the efficiency of various productive sectors as they can contribute to monitoring, managing, and improvement of a product or process throughout its life cycle. Although several works deal with DTs, there are gaps regarding the use of this technology when a Flexible Manufacturing System (FMS) is used. Existing work, for the most part, is concerned with simulating the progress of manufacturing without providing key production data in real-time. Still, most of the solutions presented in the literature are relatively expensive and may be difficult to implement in most companies, due to their complexity. In this work, the digital twin of an FMS is conceived. The specific module of an ERP (Enterprise Resources Planning) system is used to digitize the physical entity. Production data is entered according to tryouts performed in the FMS. Sensors installed in the main components of the FMS, CNC (computer numerical control) lathe, robotic arm, and pallet conveyor send information in real-time to the digital entity. The results show that simulations using the digital twin present very satisfactory results compared to the physical entity. In time, information such as production rate, queue management, feedstock, equipment, and pallet status can be easily accessed by operators and managers at any time during the production process, confirming the MES (manufacture execution system) efficiency. The low-cost hardware and software used in this work showed its feasibility. The DT created represents the initial step towards designing a metaverse solution for the manufacturing unit in question, which should operate in the near future as a smart and autonomous factory model. © 2022 by the authors.",2022,digital twin flexible manufacturing system Industry 4.0 simulation,academic,"Department of Industrial Technology, Federal University of Espírito Santo, Av. Fernando Ferrari, 514—Campus de Goiabeiras, Vitória, 29075-910, Brazil; Instituto SENAI de Inovação em Sistemas Embarcados, Av. Luiz Boiteux Piazza, 574, Cachoeira do Bom Jesus, Florianópolis, 88032-005, Brazil; Department of Exact and Technological Sciences, Santa Cruz State University, Jorge Amado Highway, Km 16, Ilhéus, 45662-900, Brazil; Department of Mechanical Engineering, The Aeronautics Advanced Manufacturing Center (CFAA), University of the Basque Country, Zamudio Tecnologic Park, Bilbao, 48170, Spain; Department of Mechanical Engineering, Federal University of Santa Catarina, Grupo de Integração da Manufatura (GRIMA), Caixa Postal 476, Florianópolis, 88040-900, Brazil",15,0.25
The digital twin in Industry 4.0: A wide-angle perspective,"The move towards advanced manufacturing and Industry 4.0 is fed by increased demand for speeding up innovation, increasing flexibility, improving maintenance, and becoming more customized while saving on the total cost of operations. This is accompanied by increased dependence on virtual product and process development, data-driven processes, and product knowledge. Other characteristics, affecting modern design, include big data intelligence in product, process, and maintenance. New technologies that empower data analytics include added manufacturing, flexible manufacturing, robotics, sensor technology, smart value/supply chains, and industrial information backbones. This paper is about surrogate models, also called digital twins, that provide an important complementary capacity to physical assets. Digital twins capture past, present, and predicted behavior of physical assets. Digital twin models are updated periodically to represent the current state of physical assets. This distinguishes digital twins from conventional simulations in that sensor data can continuously feed them. The type of curated information on the state of physical asset's history depends on how digital twins are used. For example, if a digital twin is used for fault classification, the history captured is operational data from equipment in healthy and faulty states. We provide here a review of digital twins, with an emphasis on Industry 4.0 applications. © 2021 John Wiley & Sons Ltd.",2022,Data Analytics Flexible manufacturing systems Industrial robots Industry 4.0 Product design Advanced manufacturing Cost of operations Data intelligence Fault classification Flexible manufacturing Process development Product knowledge Sensor technologies Digital twincondition-based maintenance digital twins Industry 4.0 information quality model calibration process control simulations,academic,"KPA Group, Raanana and Samuel Neaman Institute, Technion–Israel Institute of Technology, Haifa, Israel; Department of Mechanical Engineering, Ben-Gurion University of the Negev, Beer Sheva, Israel",15,0.21428571428571427
Digitalized Automation Engineering of Industry 4.0 Production Systems and Their Tight Cooperation with Digital Twins,"Smart production systems conforming the Industry 4.0 vision are based on subsystems that are integrated in a way that supports high flexibility and re-configurability. Specific components and devices, such as industrial and mobile robots or transport systems, now pose full-blown systems, and the entire Industry 4.0 production system constitutes a system-of-systems. Testing, fine-tuning, and production planning are important tasks in the entire engineering production system life-cycle. All these steps can be significantly supported and improved by digital twins, which are digitalized replicas of physical systems that are synchronized with the real systems at runtime. However, the design and implementation of digital twins for such integrated, yet partly stand-alone, industrial sub-systems can represent challenging and significantly time-consuming engineering tasks. In this article, the problem of the digital twin design for discrete-event production systems is addressed. The article also proposes to utilize a formal description of production resources and related production operations that the resources can perform. An executable version of such formalization can be automatically derived into a form of a digital twin. Such a derived digital twin can be enhanced with operation duration times that are obtained with process mining methods, leading to more realistic simulations for the entire production system. The proposed solution was successfully tested and validated in the Industry 4.0 Testbed, equipped with four robots and a transport system, which is utilized as a use-case in this article. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",2022,Automation system Digital twin Flexibility Planning Process mining Production system Robotics Simulation,academic,"Czech Institute of Informatics, Robotics and Cybernetics—CIIRC, Czech Technical University in Prague, Jugoslávských Partyzánů 1580/3, Prague, 160 00, Czech Republic",15,0.3333333333333333
Digital Twin-Assisted Controlling of AGVs in Flexible Manufacturing Environments,"Digital Twins are increasingly being introduced for smart manufacturing systems to improve the efficiency of the main disciplines of such systems. Formal techniques, such as graphs, are a common way of describing Digital Twin models, allowing broad types of tools to provide Digital Twin based services such as fault detection in production lines. Obtaining correct and complete formal Digital Twins of physical systems can be a complicated and time consuming process, particularly for manufacturing systems with plenty of physical objects and the associated manufacturing processes. Automatic generation of Digital Twins is an emerging research field and can reduce time and costs. In this paper, we focus on the generation of Digital Twins for flexible manufacturing systems with Automated Guided Vehicles (AGVs) on the factory floor. In particular, we propose an architectural framework and the associated design choices and software development tools that facilitate automatic generation of Digital Twins for AGVs. Specifically, the scope of the generated digital twins is controlling AGVs in the factory floor. To this end, we focus on different control levels of AGVs and utilize graph theory to generate the graph-based Digital Twin of the factory floor. © 2021 IEEE.",2021,Automatic guided vehicles Fault detection Flexible manufacturing systems Floors Software design Agile manufacturing Automated guided vehicles Automatic Generation Factory floors Flexible manufacturing Layer controls Manufacturing environments Multi-layer control Multi-layers Smart manufacturing Graph theoryagile manufacturing AGV digital twin graph theory industry 4.0 multi-layer control,academic,"Aalto University, Department of Electrical Engineering and Automation, Espoo, Finland; University of Oslo, Department of Informatics, Oslo, Norway",15,0.20930232558139536
Research and practice of lightweight digital twin speeding up the implementation of flexible manufacturing systems,"Parallel manufacturing in Industry 5.0 requires digital twin to digitize physical systems, building virtual models to open up channels connecting physical systems, information systems, and social systems, and transforming the physical models of the existing production environment to achieve two-way feedback of virtual and real is the current research direction. This paper proposes the modeling idea of lightweight digital twin, extracts core dimensions and performs digital virtual simulation, so as to quickly realize the complete process of two-way feedback, and realize a set of chess flexible parallel manufacturing production lines as a practice for the design of complete lightweight digital twin. © 2021 IEEE.",2021,Industrial research Virtual reality Flexible manufacturing Lightweight digital twin Parallel manufacturing Physical modelling Physical systems Social systems System building System information Two ways Virtual models Flexible manufacturing systemsFlexible manufacturing Lightweight digital twin Parallel manufacturing,academic,"School of Information Engineering, Yantai Institute of Technology, Yantai, China; Institute of Automation, Chinese Academy of Sciences, The State Key Laboratory for Management and Control of Complex Systems, Beijing, China; Qingdao Academy of Intelligent Industries, Chinese Academy of Sciences, Beijing, China; Yantai University, Department of Mechanical and Electrical Engineering, Yantai, China; School of Artificial Intelligence, Yantai Institute of Technology, Yantai, China",15,0.20588235294117646
